"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year"
"'Rosso & Bianco' Shiraz 2016","United States","California","Francis Ford Coppola",3.8,133,13.25,"2016"
"(B) Old Vine Zinfandel Lodi 2017","United States","Lodi","Brazin",4.1,504,15.9,"2017"
"1 Uno Primitivo di Manduria 2018","Italy","Primitivo di Manduria","Masseria La Volpe",4.3,1732,12.06,"2018"
"1 Uno Primitivo di Manduria Riserva 2016","Italy","Primitivo di Manduria","Masseria La Volpe",4.3,148,14.18,"2016"
"10 Barricas 2015","Spain","Cádiz","Finca Moncloa",4.3,25,37.6,"2015"
"1000X Cabernet - Merlot 2012","Austria","Burgenland","Feiler-Artinger",4.2,46,30.47,"2012"
"12 e Mezzo Malvasia Nera del Salento 2016","Italy","Salento","Varvaglione",3.9,208,7.25,"2016"
"12 e Mezzo Negroamaro del Salento 2016","Italy","Salento","Varvaglione",3.8,700,7.25,"2016"
"12 e Mezzo Negroamaro del Salento 2017","Italy","Salento","Varvaglione",3.8,133,7.31,"2017"
"12 e Mezzo Negroamaro del Salento 2018","Italy","Salento","Varvaglione",4,185,7.31,"2018"
"12 e Mezzo Primitivo del Salento 2017","Italy","Salento","Varvaglione",3.9,1080,7.25,"2017"
"12 e Mezzo Puglia Primitivo Organic Wine 2016","Italy","Puglia","Varvaglione",3.9,101,9.4,"2016"
"12 Meses en Barrica Crianza 2016","Spain","Uclés","Finca La Estacada",3.9,28,8.92,"2016"
"12 Meses en Barrica Tempranillo 2015","Spain","Ribera del Duero","Yllera",3.7,324,8.99,"2015"
"12 Volts 2018","Spain","Binissalem-Mallorca","4 Kilos Vinícola",3.8,86,17.99,"2018"
"120 'CCC' Cabernet Franc - Carmenère - Cabernet Sauvignon 2017","Chile","Central Valley","Santa Rita",3.4,507,6.34,"2017"
"120 Cabernet Sauvignon 2015","Chile","Central Valley","Santa Rita",3.2,3783,6.77,"2015"
"120 Cabernet Sauvignon 2017","Chile","Central Valley","Santa Rita",3.4,1318,7.8,"2017"
"120 Cabernet Sauvignon 2018","Chile","Central Valley","Santa Rita",3.5,429,6.33,"2018"
"120 Carmenère 2017","Chile","Central Valley","Santa Rita",3.7,446,6.33,"2017"
"120 Malbec 2015","Chile","Central Valley","Santa Rita",3.1,174,6.33,"2015"
"120 Merlot 2016","Chile","Central Valley","Santa Rita",3.2,654,6.77,"2016"
"120 Merlot 2018","Chile","Central Valley","Santa Rita",3.4,47,6.33,"2018"
"120 Reserva Especial Cabernet Sauvignon 2016","Chile","Maipo Valley","Santa Rita",3.3,2797,6.77,"2016"
"120 Syrah 2015","Chile","Central Valley","Santa Rita",3.2,641,6.33,"2015"
"1270 A Vuit Red 2013","Spain","Priorat","Hidalgo Albert",3.7,120,29.25,"2013"
"1300 Cabernet Sauvignon 2017","Argentina","Tupungato","Andeluna",3.5,359,9.99,"2017"
"1300 Cabernet Sauvignon 2018","Argentina","Tupungato","Andeluna",3.7,187,7.7,"2018"
"1300 Malbec 2018","Argentina","Tupungato","Andeluna",3.7,1150,7.7,"2018"
"1300 Merlot 2015","Argentina","Tupungato","Andeluna",3.4,286,9.69,"2015"
"1300 Merlot 2016","Argentina","Tupungato","Andeluna",3.3,113,7.7,"2016"
"1300 Merlot 2017","Argentina","Tupungato","Andeluna",3.4,258,7.7,"2017"
"1300 Merlot 2018","Argentina","Tupungato","Andeluna",3.4,72,9.9,"2018"
"14 Primitivo Gioia del Colle 2016","Italy","Gioia del Colle","Polvanera",3.9,358,11.9,"2016"
"15 di Mare Primitivo di Manduria 2016","Italy","Primitivo di Manduria","Cantolio",4.2,71,28.27,"2016"
"16 Primitivo Gioia del Colle 2015","Italy","Gioia del Colle","Polvanera",4.1,40,21.9,"2015"
"160 Anni 2013","Italy","Calabria","Ippolito 1845",4.2,171,26,"2013"
"1704 Red Tinta Barocca - Shiraz 2015","South Africa","Swartland","Allesverloren",3.4,170,10.9,"2015"
"1769 Clos Venturi Red 2016","France","Corsica","Domaine Vico",3.8,174,24.9,"2016"
"181 Merlot 2012","United States","Lodi","Noble Vines",3.6,1675,16.5,"2012"
"1810 Cabernet Sauvignon - Carmenère 2013","Chile","Maule Valley","Casa Donoso",3.8,295,18.42,"2013"
"1838 2016","Germany","Pfalz","Bergdolt-Reif & Nett",3.3,53,7.6,"2016"
"1851 Reserva Cabernet Sauvignon 2017","Chile","Colchagua Valley","Ochagavia",3.3,116,11.47,"2017"
"1851 Reserva Merlot 2017","Chile","Rapel Valley","Ochagavia",3.6,28,9.5,"2017"
"1856 2016","Spain","Mallorca","Macià Batle",3.8,85,16.69,"2016"
"1921 Primitivo di Manduria Riserva 2012","Italy","Primitivo di Manduria","Varvaglione",4.1,110,39.9,"2012"
"1952 Brindisi Riserva 2016","Italy","Brindisi","Cantina Sampietrana",4.1,409,7.99,"2016"
"1954 Primitivo Puglia 2016","Italy","Puglia","Cantine Paradiso",4.2,504,16.08,"2016"
"2 Pulso 2011","Spain","Ribera del Queiles","Del Jardín",3.3,26,12.57,"2011"
"20 Barrels Limited Edition Cabernet Sauvignon 2016","Chile","Maipo Valley","Cono Sur",4,728,22.9,"2016"
"21 Gables Pinotage 2015","South Africa","Western Cape","Spier",4.2,553,25.1,"2015"
"21 Gables Pinotage 2016","South Africa","Western Cape","Spier",4.2,281,25.95,"2016"
"23 Barricas Touriga Nacional - Syrah Alentejano 2012","Portugal","Alentejano","Herdade dos Grous",4.2,381,27.68,"2012"
"23 Barricas Touriga Nacional - Syrah Alentejano 2015","Portugal","Alentejano","Herdade dos Grous",4.2,482,24.86,"2015"
"23 Barricas Touriga Nacional - Syrah Alentejano 2017","Portugal","Alentejano","Herdade dos Grous",4.2,574,32.19,"2017"
"25 anni Montefalco Sagrantino 2014","Italy","Montefalco Sagrantino","Arnaldo-Caprai",4.2,72,55.77,"2014"
"25 Anniversary Edicion Limitada Pinot Noir 2017","Chile","Casablanca Valley","Casas del Bosque",3.9,45,29.95,"2017"
"27 Ribera del Duero 2017","Spain","Ribera del Duero","Protos",4,381,22.8,"2017"
"3 Finques (Fincas) Crianza 2016","Spain","Empordà","Castillo Perelada",3.6,436,8.99,"2016"
"3 Passo Rosso 2018","Italy","Vino d'Italia","Cielo e Terra",4,794,7.9,"2018"
